iso_code,coal_consumption,year,color
CHN,24559.486,2022,FF0000
CHN,24315.475,2021,FF0000
CHN,23402.553,2020,FF0000
CHN,22922.236,2019,FF0000
CHN,22902.131,2013,FF0000
CHN,22804.703,2014,FF0000
CHN,22422.357,2012,FF0000
CHN,22352.146,2018,FF0000
CHN,22329.041,2015,FF0000
CHN,22143.604,2011,FF0000
CHN,21915.443,2017,FF0000
CHN,21675.779,2016,FF0000
CHN,20340.541,2010,FF0000
CHN,19605.02,2009,FF0000
CHN,18715.92,2008,FF0000
CHN,18423.912,2007,FF0000
CHN,16918.381,2006,FF0000
CHN,15405.105,2005,FF0000
CHN,13155.28,2004,FF0000
CHN,11283.059,2003,FF0000
CHN,9467.457,2002,FF0000
CHN,8635.754,2001,FF0000
CHN,8211.406,2000,FF0000
CHN,8099.032,1999,FF0000
CHN,8095.389,1996,FF0000
CHN,7931.912,1997,FF0000
CHN,7871.717,1998,FF0000
CHN,7736.85,1995,FF0000
CHN,7641.667,1994,FF0000
CHN,7170.356,1993,FF0000
CHN,6731.497,1992,FF0000
CHN,6433.427,1991,FF0000
USA,6346.957,2005,00FF00
USA,6333.85,2007,00FF00
USA,6286.536,2000,00FF00
USA,6254.982,2004,00FF00
USA,6249.683,2006,00FF00
USA,6233.055,2008,00FF00
USA,6214.537,2003,00FF00
CHN,6134.517,1990,FF0000
USA,6101.315,2001,00FF00
USA,6098.454,2002,00FF00
CHN,6046.902,1989,FF0000
USA,6029.338,1998,00FF00
USA,6020.095,1999,00FF00
USA,5970.778,1997,00FF00
USA,5847.301,1996,00FF00
USA,5800.542,2010,00FF00
CHN,5771.224,1988,FF0000
USA,5593.053,1995,00FF00
IND,5581.429,2022,0000FF
USA,5543.144,1994,00FF00
USA,5522.452,1993,00FF00
USA,5482.376,2009,00FF00
USA,5473.071,2011,00FF00
CHN,5372.242,1987,FF0000
IND,5359.929,2021,0000FF
USA,5337.998,1990,00FF00
USA,5324.031,1992,00FF00
USA,5309.355,1989,00FF00
USA,5287.613,1991,00FF00
USA,5247.144,1988,00FF00
USA,5022.271,2013,00FF00
USA,5013.868,1987,00FF00
USA,5010.856,2014,00FF00
IND,4989.023,2019,0000FF
IND,4981.602,2018,0000FF
CHN,4951.424,1986,FF0000
USA,4866.301,1985,00FF00
USA,4838.404,2012,00FF00
USA,4805.599,1986,00FF00
USA,4752.76,1984,00FF00
IND,4737.157,2017,0000FF
CHN,4736.265,1985,FF0000
IND,4714.672,2020,0000FF
IND,4587.692,2016,0000FF
IND,4490.47,2015,0000FF
USA,4428.934,1981,00FF00
USA,4425.291,1983,00FF00
IND,4401.073,2014,0000FF
CHN,4338.266,1984,FF0000
USA,4329.078,2015,00FF00
USA,4293.98,1980,00FF00
USA,4265.796,1982,00FF00
USA,4187.284,1979,00FF00
IND,4009.729,2013,0000FF
CHN,3989.004,1983,FF0000
USA,3960.741,2016,00FF00
USA,3876.157,1977,00FF00
USA,3852.593,2017,00FF00
USA,3832.577,1978,00FF00
IND,3787.818,2012,0000FF
USA,3782.042,1976,00FF00
CHN,3724.838,1982,FF0000
USA,3689.458,2018,00FF00
USA,3611.49,1973,00FF00
CHN,3539.019,1980,FF0000
USA,3525.567,1974,00FF00
USA,3525.541,1975,00FF00
CHN,3520.195,1981,FF0000
IND,3478.864,2011,0000FF
USA,3447.238,1969,00FF00
USA,3433.076,1968,00FF00
USA,3414.659,1970,00FF00
CHN,3402.705,1979,FF0000
USA,3380.846,1966,00FF00
USA,3362.425,1972,00FF00
IND,3348.546,2010,0000FF
USA,3316.997,1967,00FF00
CHN,3289.196,1978,FF0000
IND,3268.266,2009,0000FF
USA,3229.201,1971,00FF00
USA,3224.244,1965,00FF00
USA,3150.46,2019,00FF00
IND,3020.762,2008,0000FF
CHN,2995.539,1977,FF0000
USA,2936.894,2021,00FF00
IND,2790.272,2007,0000FF
USA,2741.221,2022,00FF00
CHN,2723.165,1976,FF0000
CHN,2658.211,1975,FF0000
USA,2556.181,2020,00FF00
IND,2549.865,2006,0000FF
IND,2456.113,2005,0000FF
RUS,2402.564,1987,FFFF00
CHN,2383.743,1973,FF0000
RUS,2367.102,1988,FFFF00
RUS,2366.461,1986,FFFF00
CHN,2358.564,1974,FF0000
CHN,2352.924,1972,FF0000
RUS,2303.885,1985,FFFF00
RUS,2288.867,1989,FFFF00
IND,2243.529,2004,0000FF
CHN,2224.877,1971,FF0000
RUS,2120.213,1990,FFFF00
IND,2107.983,2003,0000FF
IND,2012.79,2002,0000FF
RUS,1942.911,1991,FFFF00
CHN,1929.65,1970,FF0000
IND,1926.953,2001,0000FF
IND,1911.166,2000,0000FF
DEU,1869.476,1965,FF00FF
RUS,1825.707,1992,FFFF00
IND,1813.659,1998,0000FF
IND,1796.674,1999,0000FF
DEU,1755.96,1969,FF00FF
IND,1755.363,1997,0000FF
DEU,1745.339,1966,FF00FF
DEU,1745.244,1984,FF00FF
DEU,1735.999,1985,FF00FF
DEU,1733.998,1970,FF00FF
DEU,1705.439,1968,FF00FF
DEU,1690.967,1983,FF00FF
DEU,1681.304,1967,FF00FF
IND,1678.483,1996,0000FF
DEU,1671.312,1981,FF00FF
DEU,1659.38,1971,FF00FF
RUS,1647.87,1993,FFFF00
DEU,1643.761,1980,FF00FF
DEU,1640.377,1986,FF00FF
DEU,1640.097,1989,FF00FF
DEU,1633.631,1987,FF00FF
DEU,1632.119,1974,FF00FF
IND,1631.613,1995,0000FF
DEU,1631.48,1982,FF00FF
DEU,1625.13,1973,FF00FF
DEU,1619.861,1972,FF00FF
DEU,1614.395,1988,FF00FF
DEU,1606.777,1979,FF00FF
DEU,1560.839,1976,FF00FF
IND,1537.287,1994,0000FF
DEU,1529.691,1990,FF00FF
DEU,1518.483,1978,FF00FF
CHN,1516.61,1969,FF0000
DEU,1499.002,1977,FF00FF
IND,1489.625,1993,0000FF
DEU,1478.568,1975,FF00FF
RUS,1441.225,1994,FFFF00
IND,1438.256,1992,0000FF
CHN,1423.512,1966,FF0000
JPN,1415.963,2017,00FFFF
JPN,1414.781,2008,00FFFF
JPN,1409.438,2013,00FFFF
JPN,1397.981,2015,00FFFF
JPN,1395.385,2016,00FFFF
RUS,1388.346,1995,FFFF00
JPN,1386.597,2018,00FFFF
JPN,1385.735,2014,00FFFF
JPN,1377.404,2007,00FFFF
JPN,1369.467,2021,00FFFF
JPN,1365.525,2022,00FFFF
GBR,1365.327,1965,FF8000
RUS,1362.637,1996,FFFF00
JPN,1362.594,2019,00FFFF
IND,1357.878,1991,0000FF
JPN,1354.199,2012,00FFFF
JPN,1352.734,2010,00FFFF
DEU,1343.595,1991,FF00FF
JPN,1334.814,2005,00FFFF
CHN,1330.704,1965,FF0000
JPN,1312.142,2006,00FFFF
GBR,1299.42,1966,FF8000
JPN,1282.65,2011,00FFFF
IND,1276.025,1990,0000FF
JPN,1274.103,2004,00FFFF
JPN,1270.752,2020,00FFFF
CHN,1265.344,1967,FF0000
RUS,1256.448,1997,FFFF00
